"name","1900","1910","1920","1930","1940","1950","1960","1970","1980","1990","2000","2010","2020","2030","2040","2050","2060"
"Leach Creek","33639479.840087891","49684369.82421875","54033379.565429688","46348569.927978516","38036949.694824219","51817409.9609375","58279769.989013672","52884250.006103516","50942930.035400391","42507760.113525391","44929560.296630859","33639479.840087891","45964127.630615234","46358429.815673828","56677635.821533203","46535025.012207031","53673017.761230469"
"Line Creek","25978780.303955078","32710719.854736328","36008389.984130859","31019479.699707031","22768170.068359375","36010809.991455078","39800720.080566406","40307129.901123047","41190929.821777344","31536070.184326172","37210830.041503906","25978780.303955078","33759416.766357422","34702551.995849609","43373430.242919922","35111666.815185547","39551445.837402344"
"Line Creek - South","12601889.868164062","15713459.948730469","17245650.128173828","15127049.993896484","11786309.979248047","17126100.036621094","18693220.050048828","18765650.079345703","19220880.114746094","15272569.982910156","17419750.048828125","12601889.868164062","16449061.987304688","16833097.979736328","20467974.90234375","16866573.187255859","18793316.229248047"
"Littlemoor Creek","278279.95605468744","2294990.0573730469","2536559.8571777344","1258209.8754882812","-514589.97802734375","2394230.0048828125","3278200.0793457031","3402920.2087402344","3396670.0439453125","1486970.1049804688","2724860.009765625","278279.95605468744","1440610.05859375","1433484.6435546875","3292711.2060546875","1293341.0766601562","2290631.884765625"
"Lizard Creek","20877099.908447266","30216109.655761719","28199599.774169922","24846469.860839844","21515919.854736328","27964949.713134766","30840330.407714844","30924720.166015625","29147290.148925781","25904010.137939453","28250069.946289062","20877099.908447266","27235679.1015625","27776244.494628906","33442916.748046875","27805988.940429688","31527681.005859375"
"Lladnar Creek","6655070.0256347656","10388390.130615234","10637870.001220703","8564719.9279785156","5841890.0085449219","10278789.971923828","11742579.827880859","11818650.024414062","11556770.190429688","9006089.9841308594","10546330.047607422","6655070.0256347656","9358275.0793457031","9479617.0166015625","12600043.176269531","9517834.7717285156","11291446.801757812"
"Lowe Creek","4707300.0183105469","6028469.9279785156","5736930.1147460938","4818699.9328613281","3414979.9682617188","5652520.0927734375","6570199.8718261719","6922570.0134277344","7150090.087890625","5404199.951171875","6904480.0170898438","4707300.0183105469","5723943.1640625","5986977.9724121094","7465821.9604492188","6168812.9211425781","6818313.134765625"
"Marten Creek","13386769.909667969","18939759.899902344","19910519.927978516","17251829.986572266","14228779.974365234","19203909.86328125","21440859.893798828","20186789.910888672","19332600.048828125","16405899.987792969","17629099.963378906","13386769.909667969","17520699.871826172","17765084.790039062","21569716.906738281","17906199.523925781","20348774.841308594"
"Matheson Creek","10599560.076904297","14843319.940185547","15043060.021972656","13290920.1171875","11632539.996337891","14615280.047607422","16195760.003662109","15222199.914550781","14528619.976806641","12895360.119628906","13595779.962158203","10599560.076904297","13866013.269042969","14031124.890136719","16462187.475585938","14012785.119628906","15785167.260742188"
"McCool Creek","6125559.8999023438","9485000.244140625","9502569.970703125","7869840.0085449219","5826739.9719238281","9320149.90234375","10446389.978027344","10440169.866943359","10135679.821777344","8220440.1672363281","9420699.9816894531","6125559.8999023438","8490855.0537109375","8642472.0336914062","11174241.003417969","8669574.0356445312","10161279.992675781"
"Michel Creek - Lower","998039.92919921875","5024899.9267578125","6174710.1196289062","3641909.814453125","282670.166015625","5827549.9633789062","7435030.1513671875","6972830.2062988281","6757340.0024414062","3544430.17578125","5165619.9584960938","998039.92919921875","3371497.998046875","3486380.9448242188","6991434.6923828125","3386806.7016601562","5186541.9067382812"
"Michel Creek - Mid 1","7826449.8779296875","14971799.786376953","17210720.263671875","13001960.070800781","7745560.595703125","16370110.064697266","19342010.272216797","17773000.122070312","16573219.848632812","12094710.101318359","14164080.340576172","7826449.8779296875","12002140.960693359","12432940.344238281","18226303.979492188","12605543.408203125","15435803.881835938"
"Michel Creek - Mid 2","9995069.7631835938","16465309.857177734","18568269.952392578","15167109.924316406","11410070.129394531","17622180.169677734","20516220.031738281","18333210.125732422","17655729.98046875","13698009.887695312","14810670.166015625","9995069.7631835938","14715792.376708984","14955715.942382812","19427475.885009766","14943845.959472656","17892939.904785156"
